tpsgenD89.VP;tpsgenD89.TC;id_menage;id_personne;id_chaine;Id_boucle;coep;D7_residence;nbactif;nbpers+18ans;taille_menage;nombre_VP;motorisation;habitat;occupation_logement;occupation;niveau_etudes;permis;abonnementTC;age;age0-17;age18-25;age26-35;age36-45;age46-59;age60+;sexe;D7_origine;D7_destination;Densite89;motif_ori;motif_dest;Premier_mode;tps_gen_VP_D89;tps_gen_TC_D89;lnage18
28,31016;52,037;10100300;10100302;1010030212;101003021;45,69581;2;2;2;2;2;1;4;2;2;2;1;4;45;0;0;0;1;0;0;2;1;2;359,8916651;TRAVAIL;DOMI;VP;28,31016;52,037;3,33220451
60,77733333;70,93466667;10100600;10100601;1010060112;101006011;61,31854;2;1;1;1;0;0;4;3;1;5;2;3;38;0;0;0;1;0;0;1;2;2;145,7543533;TRAVAIL;DOMI;TC;60,77733333;70,93466667;3,044522438
41,6885;68,60083333;10102500;10102501;1010250112;101025011;26,22475;2;2;2;2;1;0,5;4;1;2;6;1;4;62;0;0;0;0;0;1;1;2;2;185,5687726;TRAVAIL;DOMI;VP;41,6885;68,60083333;3,80666249
42,584;63,54533333;10102500;10102501;1010250122;101025012;26,22475;2;2;2;2;1;0,5;4;1;2;6;1;4;62;0;0;0;0;0;1;1;4;2;47,02177473;TRAVAIL;DOMI;VP;42,584;63,54533333;3,80666249
19,2735;39,14016667;10104200;10104201;1010420112;101042011;61,31854;2;1;1;1;0;0;3;3;1;6;2;2;28;0;0;1;0;0;0;2;1;2;373,274615;TRAVAIL;DOMI;TC;19,2735;39,14016667;2,397895273
35,12134167;56,6195;10105700;10105701;1010570112;101057011;45,69581;2;2;2;2;1;0,5;4;1;1;6;1;2;40;0;0;0;1;0;0;2;2;2;120,5247757;TRAVAIL;DOMI;TC;35,12134167;56,6195;3,135494216
16,8045;38,05716667;10105700;10105702;1010570212;101057021;54,14797;2;2;2;2;1;0,5;4;1;1;5;1;2;36;0;0;0;1;0;0;1;1;2;337,1084252;TRAVAIL;DOMI;TC;16,8045;38,05716667;2,944438979
38,98216667;74,31283333;10105900;10105901;1010590112;101059011;51,74709;2;1;1;1;0;0;4;1;1;6;2;4;40;0;0;0;1;0;0;2;3;2;96,06397753;TRAVAIL;DOMI;TC;38,98216667;74,31283333;3,135494216
129,2024717;120,1166667;10106000;10106002;1010600212;101060021;51,85581;2;2;2;4;1;0,5;4;1;1;5;1;4;44;0;0;0;1;0;0;2;6;2;14,68665579;TRAVAIL;DOMI;VP;129,2024717;120,1166667;3,295836866
38,98216667;74,31283333;10107400;10107401;1010740112;101074011;53,4858;2;1;1;1;1;1;4;3;1;5;1;4;22;0;1;0;0;0;0;1;3;2;96,06397753;TRAVAIL;DOMI;VP;38,98216667;74,31283333;1,609437912
19,2735;39,14016667;10108400;10108402;1010840212;101084021;51,85581;2;1;3;4;0;0;4;2;1;4;2;2;48;0;0;0;0;1;0;2;1;2;373,274615;TRAVAIL;DOMI;TC;19,2735;39,14016667;3,433987204
121,151335;114,6735;10108700;10108701;1010870112;101087011;51,85581;2;2;3;5;2;0,666666667;4;1;1;5;1;4;51;0;0;0;0;1;0;1;5;2;28,15557229;TRAVAIL;DOMI;VP;121,151335;114,6735;3,526360525
68,55395;96,38366667;10109100;10109101;1010910112;101091011;61,31854;2;1;1;1;1;1;4;3;1;6;1;4;28;0;0;1;0;0;0;1;4;2;40,91162826;TRAVAIL;DOMI;VP;68,55395;96,38366667;2,397895273
39,50483333;41,55716667;10110500;10110502;1011050222;101105022;79,0321;2;1;2;3;1;0,5;4;1;1;5;1;4;35;0;0;1;0;0;0;2;4;2;84,86226926;TRAVAIL;DOMI;VP;39,50483333;41,55716667;2,890371758
89,654115;111,301;10111200;10111201;1011120112;101112011;26,22475;2;2;2;2;1;0,5;4;3;1;2;1;4;58;0;0;0;0;1;0;1;3;2;12,64086348;TRAVAIL;DOMI;VP;89,654115;111,301;3,713572067
89,654115;111,301;10111200;10111201;1011120122;101112012;26,22475;2;2;2;2;1;0,5;4;3;1;2;1;4;58;0;0;0;0;1;0;1;3;2;12,64086348;TRAVAIL;DOMI;VP;89,654115;111,301;3,713572067
89,654115;111,301;10111200;10111202;1011120212;101112021;26,22475;2;2;2;2;1;0,5;4;3;2;2;2;2;57;0;0;0;0;1;0;2;3;2;12,64086348;TRAVAIL;DOMI;TC;89,654115;111,301;3,688879454
1,387;2,771;10112500;10112502;1011250212;101125021;61,44736;2;2;2;4;1;0,5;4;6;1;5;1;4;32;0;0;1;0;0;0;1;2;2;95,05579498;TRAVAIL;DOMI;VP;1,387;2,771;2,708050201
28,31016;52,037;10112700;10112701;1011270112;101127011;29,69758;2;1;1;1;0;0;4;2;2;3;2;2;62;0;0;0;0;0;1;1;1;2;359,8916651;TRAVAIL;DOMI;TC;28,31016;52,037;3,80666249
57,95083333;53,295;10113100;10113101;1011310112;101131011;79,0321;2;2;2;3;1;0,5;4;3;1;6;1;4;36;0;0;0;1;0;0;1;4;2;23,52052164;TRAVAIL;DOMI;VP;57,95083333;53,295;2,944438979
16,8045;38,05716667;10113100;10113102;1011310212;101131021;79,0321;2;2;2;3;1;0,5;4;3;2;6;1;2;34;0;0;1;0;0;0;2;1;2;337,1084252;TRAVAIL;DOMI;TC;16,8045;38,05716667;2,833213344
16,8045;38,05716667;10113300;10113301;1011330112;101133011;61,31854;2;1;1;1;0;0;4;3;1;6;1;2;38;0;0;0;1;0;0;1;1;2;337,1084252;TRAVAIL;DOMI;TC;16,8045;38,05716667;3,044522438
60,18897667;91,303;10113400;10113401;1011340112;101134011;45,69581;2;2;2;2;1;0,5;4;3;1;6;1;4;41;0;0;0;1;0;0;1;4;2;37,79854604;TRAVAIL;DOMI;VP;60,18897667;91,303;3,17805383
34,61347333;65,05683333;10114000;10114001;1011400112;101140011;54,14797;2;1;1;2;0;0;4;3;1;2;2;3;35;0;0;1;0;0;0;2;1;2;158,046015;TRAVAIL;DOMI;TC;34,61347333;65,05683333;2,890371758
1,387;2,771;10114100;10114101;1011410112;101141011;26,22475;2;1;2;2;2;1;4;1;1;6;1;4;64;0;0;0;0;0;1;1;2;2;95,05579498;TRAVAIL;DOMI;VP;1,387;2,771;3,850147602
35,67483333;40,409;10115400;10115402;1011540212;101154021;61,44736;2;1;2;4;1;0,5;4;3;1;5;1;2;31;0;0;1;0;0;0;1;2;2;328,0848725;TRAVAIL;DOMI;TC;35,67483333;40,409;2,63905733
